geneID,Fst_p1_p2,Fst_p1_p3,Fst_p1_p4,Fst_p1_p5,Fst_p1_p6,Fst_p1_p7,Fst_p1_p8,Fst_p1_p9,Fst_p1_p10,Fst_p2_p3,Fst_p2_p4,Fst_p2_p5,Fst_p2_p6,Fst_p2_p7,Fst_p2_p8,Fst_p2_p9,Fst_p2_p10,Fst_p3_p4,Fst_p3_p5,Fst_p3_p6,Fst_p3_p7,Fst_p3_p8,Fst_p3_p9,Fst_p3_p10,Fst_p4_p5,Fst_p4_p6,Fst_p4_p7,Fst_p4_p8,Fst_p4_p9,Fst_p4_p10,Fst_p5_p6,Fst_p5_p7,Fst_p5_p8,Fst_p5_p9,Fst_p5_p10,Fst_p6_p7,Fst_p6_p8,Fst_p6_p9,Fst_p6_p10,Fst_p7_p8,Fst_p7_p9,Fst_p7_p10,Fst_p8_p9,Fst_p8_p10,Fst_p9_p10
30623,0.0656,-0.0062,-0.0263,-0.0263,0.0137,0.1313,-0.0205,-0.0205,-0.0062,0.0026,0.0656,0.0656,-0.0141,-0.0156,0.0284,0.0284,0.0026,-0.0062,-0.0062,-0.0226,0.0468,-0.0219,-0.0219,-0.0263,-0.0263,0.0137,0.1313,-0.0205,-0.0205,-0.0062,0.0137,0.1313,-0.0205,-0.0205,-0.0062,0.0188,-0.0103,-0.0103,-0.0226,0.0836,0.0836,0.0468,-0.0263,-0.0219,-0.0219
30661,0.0656,0.0137,-0.0062,0.0378,0.0378,0.1692,-0.0062,0.0968,0.0378,-0.0141,0.0026,-0.0234,-0.0234,-0.0027,0.0026,-0.0236,-0.0234,-0.0226,-0.0231,-0.0231,0.0421,-0.0226,0,-0.0231,-0.0126,-0.0126,0.0752,-0.0263,0.0226,-0.0126,-0.0263,0.0164,-0.0126,-0.015,-0.0263,0.0164,-0.0126,-0.015,-0.0263,0.0752,-0.0159,0.0164,0.0226,-0.0126,-0.015
30691,-0.0171,0.0022,-0.0263,nan,-0.0171,-0.0171,-0.0263,-0.0171,0.0265,-0.0205,-0.0171,nan,-0.0263,-0.0263,-0.0171,-0.0263,-0.0062,0.0022,nan,-0.0205,-0.0205,0.0022,-0.0205,-0.0219,nan,-0.0171,-0.0171,-0.0263,-0.0171,0.0265,nan,nan,nan,nan,nan,-0.0263,-0.0171,-0.0263,-0.0062,-0.0171,-0.0263,-0.0062,-0.0171,0.0265,-0.0062
30777,-0.0226,-0.0263,-0.0062,-0.0263,0.0265,-0.0219,0.0026,-0.0263,-0.0126,-0.0226,0.0137,-0.0226,0.0542,-0.0103,-0.0141,-0.0226,-0.0231,-0.0062,-0.0263,0.0265,-0.0219,0.0026,-0.0263,-0.0126,-0.0062,-0.0171,-0.0205,0.0656,-0.0062,0.0378,0.0265,-0.0219,0.0026,-0.0263,-0.0126,0.0022,0.118,0.0265,0.0848,0.0284,-0.0219,0.0068,0.0026,-0.0234,-0.0126
30778,0.0137,0.0137,-0.0263,-0.0062,0.0137,0.1313,-0.0205,0.0137,-0.0205,-0.0263,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0263,-0.0103,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0263,-0.0103,-0.0062,0.0137,0.1313,-0.0205,0.0137,-0.0205,-0.0226,0.0468,-0.0219,-0.0226,-0.0219,0.0188,-0.0103,-0.0263,-0.0103,0.0836,0.0188,0.0836,-0.0103,-0.0263,-0.0103
30904,-0.0219,-0.0263,-0.0062,-0.0219,0.0081,-0.0219,-0.0126,-0.0227,-0.0227,-0.0219,-0.0205,-0.0263,-0.0091,-0.0263,0.0068,-0.0146,-0.0146,-0.0062,-0.0219,0.0081,-0.0219,-0.0126,-0.0227,-0.0227,-0.0205,-0.0193,-0.0205,0.0378,0.004,0.004,-0.0091,-0.0263,0.0068,-0.0146,-0.0146,-0.0091,0.0556,0.012,0.012,0.0068,-0.0146,-0.0146,-0.017,-0.017,-0.0263
30963,0.0137,0.0137,-0.0263,-0.0062,0.0137,0.1313,-0.0205,0.0137,-0.0205,-0.0263,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0263,-0.0103,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0263,-0.0103,-0.0062,0.0137,0.1313,-0.0205,0.0137,-0.0205,-0.0226,0.0468,-0.0219,-0.0226,-0.0219,0.0188,-0.0103,-0.0263,-0.0103,0.0836,0.0188,0.0836,-0.0103,-0.0263,-0.0103
31008,-0.0226,-0.0103,-0.0226,0.0542,-0.0103,0.0137,-0.0226,0.0542,-0.0103,-0.0219,-0.0263,0.0265,-0.0219,-0.0062,-0.0263,0.0265,-0.0219,-0.0219,0.0022,-0.0263,-0.0205,-0.0219,0.0022,-0.0263,0.0265,-0.0219,-0.0062,-0.0263,0.0265,-0.0219,0.0022,-0.0171,0.0265,-0.0263,0.0022,-0.0205,-0.0219,0.0022,-0.0263,-0.0062,-0.0171,-0.0205,0.0265,-0.0219,0.0022
31046,-0.0226,-0.0103,-0.0263,0.0542,-0.0226,-0.0103,-0.0226,0.0542,-0.0103,-0.0219,-0.0226,0.0265,-0.0263,-0.0219,-0.0263,0.0265,-0.0219,-0.0103,0.0022,-0.0219,-0.0263,-0.0219,0.0022,-0.0263,0.0542,-0.0226,-0.0103,-0.0226,0.0542,-0.0103,0.0265,0.0022,0.0265,-0.0263,0.0022,-0.0219,-0.0263,0.0265,-0.0219,-0.0219,0.0022,-0.0263,0.0265,-0.0219,0.0022
31141,-0.0226,-0.0263,-0.0062,-0.0226,-0.0062,-0.0263,0.0026,-0.0263,-0.0126,-0.0226,0.0137,-0.0263,0.0137,-0.0226,-0.0141,-0.0226,-0.0231,-0.0062,-0.0226,-0.0062,-0.0263,0.0026,-0.0263,-0.0126,0.0137,-0.0263,-0.0062,0.0656,-0.0062,0.0378,0.0137,-0.0226,-0.0141,-0.0226,-0.0231,-0.0062,0.0656,-0.0062,0.0378,0.0026,-0.0263,-0.0126,0.0026,-0.0234,-0.0126
31399,0.0137,0.0378,-0.0263,-0.0062,0.0137,0.1313,-0.0205,0.0378,-0.0205,-0.0231,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0231,-0.0103,0.0378,-0.0126,-0.0231,-0.0017,0.0068,-0.0263,0.0068,-0.0062,0.0137,0.1313,-0.0205,0.0378,-0.0205,-0.0226,0.0468,-0.0219,-0.0126,-0.0219,0.0188,-0.0103,-0.0231,-0.0103,0.0836,-0.0017,0.0836,0.0068,-0.0263,0.0068
31416,0.0137,0.0378,-0.0263,-0.0062,0.0137,0.1313,-0.0205,0.0378,-0.0205,-0.0231,0.0137,-0.0226,-0.0263,0.0188,-0.0103,-0.0231,-0.0103,0.0378,-0.0126,-0.0231,-0.0017,0.0068,-0.0263,0.0068,-0.0062,0.0137,0.1313,-0.0205,0.0378,-0.0205,-0.0226,0.0468,-0.0219,-0.0126,-0.0219,0.0188,-0.0103,-0.0231,-0.0103,0.0836,-0.0017,0.0836,0.0068,-0.0263,0.0068
31564,0.0164,-0.0017,-0.0263,-0.0263,-0.015,0.067,-0.0234,-0.015,-0.0017,-0.0237,0.0164,0.0164,-0.0159,-0.0159,-0.0027,-0.0159,-0.0237,-0.0017,-0.0017,-0.0237,-0.0032,-0.0156,-0.0237,-0.0263,-0.0263,-0.015,0.067,-0.0234,-0.015,-0.0017,-0.015,0.067,-0.0234,-0.015,-0.0017,0.0147,-0.0236,-0.0263,-0.0237,0.038,0.0147,-0.0032,-0.0236,-0.0156,-0.0237
31741,-0.0226,-0.0263,-0.0062,-0.0226,-0.0062,-0.0263,0.0026,-0.0263,-0.0126,-0.0226,0.0137,-0.0263,0.0137,-0.0226,-0.0141,-0.0226,-0.0231,-0.0062,-0.0226,-0.0062,-0.0263,0.0026,-0.0263,-0.0126,0.0137,-0.0263,-0.0062,0.0656,-0.0062,0.0378,0.0137,-0.0226,-0.0141,-0.0226,-0.0231,-0.0062,0.0656,-0.0062,0.0378,0.0026,-0.0263,-0.0126,0.0026,-0.0234,-0.0126
31870,-0.0171,-0.0171,0.0542,-0.0171,-0.0171,0.0265,0.0022,0.0265,-0.0171,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,-0.0263,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,0.0137,0.0137,-0.0226,-0.0103,-0.0226,0.0137,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0062,-0.0205,-0.0062,-0.0263,-0.0219,-0.0263,-0.0062,-0.0219,-0.0205,-0.0062
31912,0.0188,0.0421,0.0137,0.0421,-0.0231,0.1396,0.0699,0.1023,0.0421,-0.0237,0.1313,-0.0237,-0.0017,0.0152,-0.0161,-0.0032,-0.0237,0.1692,-0.0263,0.0164,-0.0027,-0.0237,-0.0159,-0.0263,0.1692,0.0378,0.3048,0.2105,0.2556,0.1692,0.0164,-0.0027,-0.0237,-0.0159,-0.0263,0.0997,0.0393,0.067,0.0164,-0.0156,-0.0236,-0.0027,-0.0237,-0.0237,-0.0159
32091,-0.0126,0.0068,-0.0126,0.0848,-0.0126,0.0378,-0.0126,0.0848,-0.0231,-0.0219,-0.0263,0.0265,-0.0263,-0.0062,-0.0263,0.0265,-0.0226,-0.0219,0.0022,-0.0219,-0.0205,-0.0219,0.0022,-0.0103,0.0265,-0.0263,-0.0062,-0.0263,0.0265,-0.0226,0.0265,-0.0171,0.0265,-0.0263,0.0542,-0.0062,-0.0263,0.0265,-0.0226,-0.0062,-0.0171,0.0137,0.0265,-0.0226,0.0542
